"species","latitude","longitude","date_obs","source"
"Impatiens glandulifera",47.23221,8.3983,2025-05-20,"gbif"
"Impatiens glandulifera",47.26649,7.98219,2025-05-16,"gbif"
"Impatiens glandulifera",47.23347,7.96869,2025-05-09,"gbif"
"Impatiens glandulifera",47.23378,7.96813,2025-05-09,"gbif"
"Impatiens glandulifera",47.48027,7.75379,2025-05-22,"gbif"
"Impatiens glandulifera",47.21241,7.97425,2025-05-07,"gbif"
"Impatiens glandulifera",47.40785,8.19329,2025-05-13,"gbif"
"Impatiens glandulifera",46.36062,8.94871,2025-05-27,"gbif"
"Impatiens glandulifera",47.2299,7.97325,2025-05-09,"gbif"
"Impatiens glandulifera",47.26747,7.99779,2025-05-16,"gbif"
"Impatiens glandulifera",47.39205,8.07554,2025-05-15,"gbif"
"Impatiens glandulifera",47.22455,7.97658,2025-05-09,"gbif"
"Impatiens glandulifera",47.21294,7.97461,2025-05-07,"gbif"
"Impatiens glandulifera",47.41736,8.16271,2025-05-28,"gbif"
"Impatiens glandulifera",46.81077,7.71467,2025-05-30,"gbif"
"Impatiens glandulifera",47.14177,8.02605,2025-05-28,"gbif"
"Impatiens glandulifera",46.35974,8.95115,2025-05-27,"gbif"
"Impatiens glandulifera",46.99799,9.098,2025-05-15,"gbif"
"Impatiens glandulifera",47.48021,7.75387,2025-05-22,"gbif"
"Impatiens glandulifera",47.14179,8.0263,2025-05-28,"gbif"
"Impatiens glandulifera",46.92749,7.3171,2025-05-19,"gbif"
"Impatiens glandulifera",47.14174,8.02596,2025-05-28,"gbif"
"Impatiens glandulifera",47.02299,8.04906,2025-05-10,"gbif"
"Impatiens glandulifera",46.35956,8.95157,2025-05-27,"gbif"
"Impatiens glandulifera",47.26699,7.97725,2025-05-16,"gbif"
"Impatiens glandulifera",46.36016,8.9509,2025-05-27,"gbif"
"Impatiens glandulifera",47.20617,7.97197,2025-05-07,"gbif"
"Impatiens glandulifera",47.11638,8.77025,2025-05-16,"gbif"
"Impatiens glandulifera",47.57657,8.87714,2025-05-10,"gbif"
"Impatiens glandulifera",47.39149,8.07565,2025-05-15,"gbif"
"Impatiens glandulifera",46.80648,6.74187,2025-05-08,"gbif"
"Impatiens glandulifera",47.5561,7.61801,2025-05-27,"gbif"
"Impatiens glandulifera",47.23648,7.96645,2025-05-09,"gbif"
"Impatiens glandulifera",47.0394,8.63769,2025-05-22,"gbif"
"Impatiens glandulifera",47.22435,7.97656,2025-05-09,"gbif"
"Impatiens glandulifera",47.11663,8.77229,2025-05-16,"gbif"
"Impatiens glandulifera",46.49266,6.48044,2025-05-27,"gbif"
"Impatiens glandulifera",46.64713,6.70347,2025-05-21,"gbif"
"Impatiens glandulifera",47.14228,8.02603,2025-05-28,"gbif"
"Impatiens glandulifera",47.24822,7.95646,2025-05-09,"gbif"
"Impatiens glandulifera",47.22666,7.97589,2025-05-09,"gbif"
"Impatiens glandulifera",47.26703,7.99676,2025-05-16,"gbif"
"Impatiens glandulifera",47.14177,8.02611,2025-05-28,"gbif"
"Impatiens glandulifera",47.50595,7.60928,2025-05-07,"gbif"
"Impatiens glandulifera",47.14167,8.02597,2025-05-28,"gbif"
"Impatiens glandulifera",47.20663,7.97262,2025-05-07,"gbif"
"Impatiens glandulifera",46.78145,6.72757,2025-05-27,"gbif"
"Impatiens glandulifera",47.10941,8.27887,2025-05-03,"gbif"
"Impatiens glandulifera",46.359,8.95273,2025-05-27,"gbif"
"Impatiens glandulifera",47.16189,8.76179,2025-05-28,"gbif"
"Impatiens glandulifera",46.35864,8.95325,2025-05-27,"gbif"
"Impatiens glandulifera",47.168,8.05167,2025-05-28,"gbif"
"Impatiens glandulifera",47.14139,8.0261,2025-05-28,"gbif"
"Impatiens glandulifera",46.8031,6.74036,2025-05-17,"gbif"
"Impatiens glandulifera",46.7915,6.73738,2025-05-25,"gbif"
"Impatiens glandulifera",47.20707,7.97309,2025-05-07,"gbif"
"Impatiens glandulifera",47.13366,7.34558,2025-05-17,"gbif"
"Impatiens glandulifera",47.21273,7.97454,2025-05-07,"gbif"
"Impatiens glandulifera",47.49762,8.23499,2025-05-15,"gbif"
"Impatiens glandulifera",46.93029,7.31441,2025-05-19,"gbif"
"Impatiens glandulifera",47.16323,8.76199,2025-05-28,"gbif"
"Impatiens glandulifera",47.23664,7.96637,2025-05-09,"gbif"
"Impatiens glandulifera",47.20637,7.97253,2025-05-07,"gbif"
"Impatiens glandulifera",46.35891,8.95269,2025-05-27,"gbif"
"Impatiens glandulifera",47.51385,8.07073,2025-05-17,"gbif"
"Impatiens glandulifera",47.38862,8.07595,2025-05-15,"gbif"
"Impatiens glandulifera",46.98542,8.72388,2025-05-02,"gbif"
"Impatiens glandulifera",46.36043,8.94927,2025-05-27,"gbif"
"Impatiens glandulifera",47.1415,8.02613,2025-05-28,"gbif"
"Impatiens glandulifera",47.14148,8.02625,2025-05-28,"gbif"
"Impatiens glandulifera",47.16235,8.76167,2025-05-28,"gbif"
"Impatiens glandulifera",47.14171,8.02625,2025-05-28,"gbif"
"Impatiens glandulifera",47.53249,7.62162,2025-05-27,"gbif"
"Impatiens glandulifera",47.09004,8.18766,2025-05-26,"gbif"
"Impatiens glandulifera",47.21291,7.97437,2025-05-07,"gbif"
"Impatiens glandulifera",47.23331,7.96881,2025-05-09,"gbif"
"Impatiens glandulifera",47.21219,7.97442,2025-05-07,"gbif"
"Impatiens glandulifera",47.16304,8.76173,2025-05-28,"gbif"
"Impatiens glandulifera",47.39861,8.71883,2025-05-20,"gbif"
"Impatiens glandulifera",46.93508,7.31099,2025-05-19,"gbif"
"Impatiens glandulifera",46.9565,7.09212,2025-05-24,"gbif"
"Impatiens glandulifera",47.14158,8.02614,2025-05-28,"gbif"
"Impatiens glandulifera",47.41524,8.17662,2025-05-19,"gbif"
"Impatiens glandulifera",47.53171,7.785,2025-05-30,"gbif"
"Impatiens glandulifera",47.16798,8.05163,2025-05-28,"gbif"
"Impatiens glandulifera",47.27308,7.9883,2025-05-16,"gbif"
"Impatiens glandulifera",47.22908,7.9743,2025-05-09,"gbif"
"Impatiens glandulifera",47.33795,8.13593,2025-05-13,"gbif"
"Impatiens glandulifera",47.2249,7.9765,2025-05-09,"gbif"
"Impatiens glandulifera",46.16441,8.90094,2025-05-09,"gbif"
"Impatiens glandulifera",47.22561,7.97623,2025-05-09,"gbif"
"Impatiens glandulifera",47.49742,9.23029,2025-05-06,"gbif"
"Impatiens glandulifera",46.82874,9.6876,2025-05-04,"gbif"
"Impatiens glandulifera",46.80733,7.70936,2025-05-30,"gbif"
"Impatiens glandulifera",46.78391,6.74521,2025-05-30,"gbif"
"Impatiens glandulifera",46.34991,8.96807,2025-05-26,"gbif"
"Impatiens glandulifera",47.4115,8.0898,2025-05-08,"gbif"
"Impatiens glandulifera",46.49288,6.48178,2025-05-27,"gbif"
"Impatiens glandulifera",47.14162,8.02588,2025-05-28,"gbif"
"Impatiens glandulifera",47.47989,7.75364,2025-05-22,"gbif"
"Impatiens glandulifera",46.49303,6.48174,2025-05-27,"gbif"
"Impatiens glandulifera",47.53174,7.78293,2025-05-30,"gbif"
"Impatiens glandulifera",46.35008,8.96802,2025-05-26,"gbif"
"Impatiens glandulifera",47.14167,8.02617,2025-05-28,"gbif"
"Impatiens glandulifera",47.03893,8.63139,2025-05-22,"gbif"
"Impatiens glandulifera",47.26677,7.99238,2025-05-16,"gbif"
"Impatiens glandulifera",47.33923,8.09564,2025-05-13,"gbif"
"Impatiens glandulifera",47.1418,8.0262,2025-05-28,"gbif"
"Impatiens glandulifera",47.22984,7.97367,2025-05-09,"gbif"
"Impatiens glandulifera",47.39106,8.07557,2025-05-15,"gbif"
"Impatiens glandulifera",47.27171,7.99584,2025-05-16,"gbif"
"Impatiens glandulifera",47.21719,7.9757,2025-05-07,"gbif"
"Impatiens glandulifera",46.92991,7.31686,2025-05-19,"gbif"
"Impatiens glandulifera",46.33141,8.97987,2025-05-26,"gbif"
"Impatiens glandulifera",47.40938,8.19099,2025-05-13,"gbif"
"Impatiens glandulifera",47.48047,7.75418,2025-05-22,"gbif"
"Impatiens glandulifera",47.2335,7.96844,2025-05-09,"gbif"
"Impatiens glandulifera",47.35134,8.28104,2025-05-09,"gbif"
"Impatiens glandulifera",47.48143,9.41799,2025-05-16,"gbif"
"Impatiens glandulifera",47.41335,9.20607,2025-05-26,"gbif"
"Impatiens glandulifera",47.48013,9.41538,2025-05-16,"gbif"
"Impatiens glandulifera",47.4,9.23672,2025-05-13,"gbif"
"Impatiens glandulifera",47.24548,9.17314,2025-05-21,"gbif"
"Impatiens glandulifera",47.22657,8.97395,2025-05-08,"gbif"
